Username,Screenname,Time,Text,Retweets,Favorites
b'L treetex',b'AnnabelleT53',2018-09-07 03:05:42,b'RT @JYSexton: Kavanaugh\xe2\x80\x99s nomination has been protected by extraordinary measures and the confirmation process is completely broken. The on\xe2\x80\xa6',0,0
b'Jos\xc3\xa9 Luis Cordero',b'yanktwit',2018-09-07 03:05:42,"b'RT @jesusramonro: ESTE "" diputado "" jose guerra es un referente de lo mas arrodillado del r\xc3\xa9gimen , como CARAJO se le ocurre decir semejant\xe2\x80\xa6'",0,0
b'Den',b'WlROSABLENG',2018-09-07 03:05:43,b'Kenapa dah wkwk.',0,0
b'jephph',b'not_ur_dad',2018-09-07 03:05:43,"b'RT @ZachSvobodny: If you\xe2\x80\x99ve never had a Four Loko before, u should give them a try: they\xe2\x80\x99re cheap as shit, it\xe2\x80\x99s a company that doesn\xe2\x80\x99t test\xe2\x80\xa6'",0,0
b'Vangoth',b'casey_emowizard',2018-09-07 03:05:43,b'Too REAL',0,0
b'\xf0\x9f\x8c\xbaSheri\xf0\x9f\x8c\xba',b'LittleMissBrezy',2018-09-07 03:05:44,b'RT @EricFPhillips: Follow-up tests complete: nothing other than influenza and some common cold viruses found. The patients are being releas\xe2\x80\xa6',0,0
b'Dawn',b'Alba_Dawn',2018-09-07 03:05:44,"b'Since Rand Paul thinks using a lie detector on suspects in the Trump administration to uncover ""Anonymous"" is a goo\xe2\x80\xa6 https://t.co/iqwEIXbsMn'",0,0
b'Tyler Putnam SCARED THE HOS AWAY',b'JacobAWingate',2018-09-07 03:05:44,"b'RT @ZachSvobodny: If you\xe2\x80\x99ve never had a Four Loko before, u should give them a try: they\xe2\x80\x99re cheap as shit, it\xe2\x80\x99s a company that doesn\xe2\x80\x99t test\xe2\x80\xa6'",0,0
b'\xec\xa3\xbc Guan(H)',b'rlkuanlin_',2018-09-07 03:05:44,b'Test',0,0
b'Petalos de Rosas',b'castillo960',2018-09-07 03:05:44,"b'RT @jesusramonro: ESTE "" diputado "" jose guerra es un referente de lo mas arrodillado del r\xc3\xa9gimen , como CARAJO se le ocurre decir semejant\xe2\x80\xa6'",0,0
b'Michael',b'michael91128',2018-09-07 03:05:45,b'RT @ChristypDoran: David Pocock\xe2\x80\x99s late scratching from Saturday\xe2\x80\x99s Test against the Springboks because of a neck injury complaint makes @Wor\xe2\x80\xa6',0,0
b'Meridiano GM',b'MeridianoGM',2018-09-07 03:05:50,b'\xf0\x9f\x94\xbb \xc2\xbfQuieres ser dise\xc3\xb1ador gr\xc3\xa1fico profesional? Olv\xc3\xaddare de cursos online y estudia esta carrera https://t.co/hgR2k230Fi',0,0
b'Crypto Muse',b'MuseCrypto',2018-09-07 03:05:50,b'@much_gio I just did the test',0,0
b'Rajkumar Goyal',b'Raj_kumar_Goyal',2018-09-07 03:05:51,"b""RT @DDNewsLive: India to eye redemption as they play their 5th Test against England in London; it will also be #AlastairCook's final appear\xe2\x80\xa6""",0,0
b'cynthia',b'cynthiagarcc',2018-09-07 03:05:51,b'\xe2\x80\x9cnatural energy boost\xe2\x80\x9d LMAOOO THAT SHIT',0,0
b'Fred Furst',b'furetosan',2018-09-07 03:05:52,b'RT @SwiftOnSecurity: New hidden Twitter keyboard shortcut to see who quote-tweeted you. They just stuck it in the client-side js behind a t\xe2\x80\xa6',0,0
b'nDRX32_',b'nDRX32_',2018-09-07 03:05:52,b'TEST',0,0
b'\xf0\x9f\x8c\x9fGabriella\xf0\x9f\x8c\x9f',b'GabriellaR613',2018-09-07 03:05:52,b'RT @grgbkr37: Shout out to Senator Rand Paul for proposing a lie detector test to find anonymous op-ed author.  The Kentucky senator said a\xe2\x80\xa6',0,0
b'Snowfazam',b'Snowfazam12',2018-09-07 03:05:53,"b'RT @bella_inxs: September 20, 2018 @ 2:18 EDT Nationwide FEMA test/alert scheduled.       \xf0\x9f\x93\xb1\xe2\x8f\xb0\xf0\x9f\x93\xb1\xe2\x8f\xb0\xf0\x9f\x93\xb1\xe2\x8f\xb0\xf0\x9f\x93\xb1\xe2\x8f\xb0\xf0\x9f\x93\xb1 https://t.co/KjY9SqjTPX'",0,0
b'Rukan Khalid',b'lolrukan2',2018-09-07 03:05:53,b'RT @amandaschenian: brooo my parents went to the Jasper open house last night &amp; now sophmores don\xe2\x80\x99t have to read A Tale of Two Cities &amp; jas\xe2\x80\xa6',0,0
