text
Thank you Cleveland Ohio! https://t.co/ROEFRLY7jP
Our high level delegation is on the way back from China where they had long meetings with Chinese leaders and business representatives. We will be meeting tomorrow to determine the results but it is hard for China in that they have become very spoiled with U.S. trade wins!
Just returned home to the beautiful White House from Dallas where the Arena was packed to the rafters with the great fans and supporters of the @NRA. It was so wonderful to be there!
Great book just out by very successful businessman @AndyPuzder. Always known as somebody who knows how to win “Capitalist Comeback” will be a big hit!
I want to thank all of our friends and patriots at the @NRA. We will never fail and we will always protect your Second Amendment! God Bless you and God Bless America! https://t.co/3PoNPV24p4
We are going to demand Congress secure the border in the upcoming CR. Illegal immigration must end!
Democrats and liberals in Congress want to disarm law-abiding Americans at the same time they are releasing dangerous criminal aliens and savage gang members onto our streets. Politicians who put criminal aliens before American Citizens should be voted out of office!
All of us here today are united by the same timeless values. We believe that our liberty is a gift from our creator and that no Government can ever take it away. We believe in the rule of law - and we support the men and women of law enforcement. We have pride in our history... https://t.co/eONj1Y8oju
JUST OUT: 3.9% Unemployment. 4% is Broken! In the meantime WITCH HUNT!
Going to Dallas (the GREAT State of Texas) today. Leaving soon!
NBC NEWS is wrong again! They cite “sources” which are constantly wrong. Problem is like so many others the sources probably don’t exist they are fabricated fiction! NBC my former home with the Apprentice is now as bad as Fake News CNN. Sad!
Andy McCarthy will be on  @LouDobbs tonight. 7:00 P.M.  @FoxBusiness.
Because Jobs in the U.S. are doing so well Americans receiving unemployment aid is the lowest since 1973. Great!
Our Southern Border is under siege. Congress must act now to change our weak and ineffective immigration laws. Must build a Wall. Mexico which has a massive crime problem is doing little to help!
#NationalDayOfPrayer https://t.co/nFUc3uyQL8
This spring marks 4yrs since the Phoenix VA crisis. We won't forget what happened to our GREAT VETS. Choice is vital but the program needs work &amp; is running out of $. Congress must fix Choice Program by Memorial Day so VETS can get the care they deserve. I will sign immediately!
Today it was my great honor to celebrate the #NationalDayOfPrayer at the @WhiteHouse in the Rose Garden! Proclamation: https://t.co/4jAxJnBJoq https://t.co/AsWTfpu290
...despite already having signed a detailed letter admitting that there was no affair. Prior to its violation by Ms. Clifford and her attorney this was a private agreement. Money from the campaign or campaign contributions played no roll in this transaction.
...very common among celebrities and people of wealth. In this case it is in full force and effect and will be used in Arbitration for damages against Ms. Clifford (Daniels). The agreement was used to stop the false and extortionist accusations made by her about an affair......
Mr. Cohen an attorney received a monthly retainer not from the campaign and having nothing to do with the campaign from which he entered into through reimbursement a private contract between two parties known as a non-disclosure agreement or NDA. These agreements are.....
Our great financial team is in China trying to negotiate a level playing field on trade! I look forward to being with President Xi in the not too distant future. We will always have a good (great) relationship!
Ainsley Earnhardt a truly great person just wrote a wonderful book “The Light Within Me” which is doing really well. She is very special and so is her new book...bring it to number one!
As everybody is aware the past Administration has long been asking for three hostages to be released from a North Korean Labor camp but to no avail. Stay tuned!
“This isn’t some game. You are screwing with the work of the president of the United States.”  John Dowd March 2018.  With North Korea China the Middle East and so much more there is not much time to be thinking about this especially since there was no Russian “Collusion.”
I have been briefed on the U.S. C-130 “Hercules” cargo plane from the Puerto Rico National Guard that crashed near Savannah Hilton Head International Airport. Please join me in thoughts and prayers for the victims their families and the great men and women of the National Guard.
Congratulations @SecPompeo! https://t.co/ECrMGkXMQF
A Rigged System - They don’t want to turn over Documents to Congress. What are they afraid of? Why so much redacting? Why such unequal “justice?” At some point I will have no choice but to use the powers granted to the Presidency and get involved!
NEW BOOK - A MUST READ! “The Russia Hoax - The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump” by the brilliant Fox News Legal Analyst Gregg Jarrett. A sad chapter for law enforcement. A rigged system!
“The questions are an intrusion into the President’s Article 2  powers under the Constitution to fire any Executive Branch Employee...what the President was thinking is an outrageous.....as to the President’s unfettered power to fire anyone...” Joe Digenova former US Attorney
There was no Collusion (it is a Hoax) and there is no Obstruction of Justice (that is a setup &amp; trap). What there is is Negotiations going on with North Korea over Nuclear War Negotiations going on with China over Trade Deficits Negotiations on NAFTA and much more. Witch Hunt!
Today it was my great honor to thank and welcome heroic crew members and passengers of Southwest Airlines Flight 1380 at the @WhiteHouse! https://t.co/fYYgWToddi
Congratulations @ArmyWP_Football! https://t.co/rmaLoZMWtK
Today I had the great honor of awarding the Commander-in-Chief’s Trophy for the first time in 21 years to the @ArmyWP_Football Black Knights at the @WhiteHouse. Congratulations!https://t.co/KRQXR3xEES
Yesterday it was my great honor to welcome President @MBuhari of the Federal Republic of Nigeria to the @WhiteHouse!???????? https://t.co/ApOC3CUSjV
It would seem very hard to obstruct justice for a crime that never happened! Witch Hunt!
Delegation heading to China to begin talks on the Massive Trade Deficit that has been created with our Country. Very much like North Korea this should have been fixed years ago not now. Same with other countries and NAFTA...but it will all get done. Great Potential for USA!
So disgraceful that the questions concerning the Russian Witch Hunt were “leaked” to the media. No questions on Collusion. Oh I see...you have a made up phony crime Collusion that never existed and an investigation begun with illegally leaked classified information. Nice!
The White House is running very smoothly despite phony Witch Hunts etc. There is great Energy and unending Stamina both necessary to get things done. We are accomplishing the unthinkable and setting positive records while doing so! Fake News is going “bonkers!”
